Title,Release_date,Rating_num,Pop
我的英雄学院 第3季 僕のヒーローアカデミア 第3期,2018,9.4,3748
A.I.C.O.：化身 A.I.C.O. -Incarnation-,2018,7.3,1142
甘粕与玛索丹 ひそねとまそたん,2018,8.3,406
血界战线 & BEYOND 血界戦線 & BEYOND,2017,9,3135
我的英雄学院OAD2：死亡训练 僕のヒーローアカデミア Training of the Dead,2017,8.7,607
我的英雄学院  OAD1 解救！救援训练！ 僕のヒーローアカデミア OAD1 救え！救助訓練！,2017,8.4,636
我的英雄学院 第2季 僕のヒーローアカデミア 第2期,2017,9.1,7141
摇滚都市 第二季 SHOW BY ROCK!!#,2016,6.6,90
文豪野犬 第二季 文豪ストレイドッグス 第2クール,2016,8.6,2404
摇滚都市 短版 SHOW BY ROCK!! しょ〜と!!,2016,6.5,88
灵能百分百 第一季 モブサイコ100,2016,9.3,16309
血界战线：王者餐厅的王者 血界戦線 王様のレストランの王様,2016,8.5,556
我的英雄学院 第1季 僕のヒーローアカデミア,2016,8.8,10757
文豪野犬 文豪ストレイドッグス,2016,7.4,5197
混凝土革命 超人幻想 第二季 コンクリート・レボルティオ～超人幻想～THE LAST SONG,2016,8.5,813
赤发的白雪姬OAD 赤髪の白雪姫OAD,2016,7.7,374
赤发的白雪姬 第二季 赤髪の白雪姫 2クール目,2016,8.2,1117
野良神 OAD4 ノラガミ カピパーランド,2016,8.6,1430
野良神 OAD3 ノラガミ 夜ト神連続殺人事件 ノラガミサスペンス劇場,2015,8.2,1574
野良神 第2季 ノラガミ ARAGOTO,2015,8.8,11492
混凝土革命 超人幻想 コンクリート・レボルティオ 超人幻想,2015,8.5,1594
赤发的白雪姬 赤髪の白雪姫,2015,7.7,2687
血界战线 血界戦線,2015,8.3,7203
摇滚都市 第一季 SHOW BY ROCK!!,2015,7.3,243
棺姬嘉依卡 OVA 棺姫のチャイカ OVA,2015,7.4,99
棺姬嘉依卡 第二季 棺姫のチャイカ AVENGING BATTLE,2014,6.8,381
太空丹迪 特典 スペース☆ダンディ 映像特典,2014,8.4,103
太空丹迪 第二季 スペース☆ダンディ シーズン2,2014,9.4,2361
展开骑士 テンカイナイト,2014,暂无评分,<10
地球队长 キャプテン・アース,2014,6.5,524
噬魂师NOT! ソウルイーターノット!,2014,5.8,612
棺姬嘉依卡 棺姫のチャイカ,2014,6.7,789
野良神 OAD2 ノラガミ 春の日の約束,2014,8.4,2501
野良神 OAD1 ノラガミ 神憑り、神祟り,2014,8.4,3099
野良神 第1季 ノラガミ,2014,8.4,20751
太空丹迪 スペース☆ダンディ,2014,9,4260
成年女性的动画时间 大人女子のアニメタイム,2013,8.7,6380
银河美少年 剧场版 スタードライバー THE MOVIE,2013,7.5,292
绝园的暴风雨 絶園のテンペスト,2012,7.5,7287
交响诗篇AO 少女峰的花丛 OVA エウレカセブンAO ユングフラウの花々たち,2012,6.4,138
交响诗篇AO エウレカセブン AO,2012,7.2,1077
永远之永恒 第六章 永久的久远 トワノクオン 第六章 永久の久遠,2011,7.3,461
因果论 UN-GO episode:0 因果論,2011,8,1667
永远之永恒 第五章 双绝的来复 トワノクオン 第五章 双絶の来復,2011,7.5,427
UN-GO,2011,7.7,4355
永远之永恒 第四章 红莲的焦心 トワノクオン 第四章 紅蓮の焦心,2011,7.7,463
永远之永恒 第三章 梦幻的连座 トワノクオン 第三章 夢幻の連座,2011,7.5,516
未来都市NO.6 NO.6,2011,8.2,12033
永远之永恒 第二章 混沌的兰舞 トワノクオン 第二章 混沌の蘭舞,2011,7.4,542
钢之炼金术师：叹息之丘的圣星 鋼の錬金術師 嘆きの丘の聖なる星,2011,7.3,8267
永远之永恒 第一章 泡沫的花瓣 トワノクオン 第一章 泡沫の花弁,2011,7.4,895
哥特萝莉侦探事件簿 GOSICK -ゴシック-,2011,7.7,7009
驭星者 闪亮的塔科特 STAR DRIVER 輝きのタクト,2010,7.8,2275
钢之炼金术师：那也是他的战场 鋼の錬金術師 それもまた彼の戦場,2010,9,1264
英雄 HEROMAN,2010,5.9,379
钢之炼金术师：师傅的故事 鋼の錬金術師 師匠物語／師匠初恋物語,2010,9,2023
光晕：传奇 Halo Legends,2010,7.2,1948
黑之契约者外传 DARKER THAN BLACK -黒の契約者- 外伝,2010,8.6,3989
钢之炼金术师：单纯的人们 鋼の錬金術師 シンプルな人々,2010,8.6,1505
黑之契约者2：流星的双子 DARKER THAN BLACK -流星の双子-,2009,7.9,8676
钢之炼金术师：失明的炼金术师 鋼の錬金術師 盲目の錬金術師,2010,8.6,1741
钢之炼金术师  四格剧场 ハガレン 4コマ劇場,2010,9.3,3157
东京地震8.0 東京マグニチュード8.0,2009,8.5,7328
钢之炼金术师FA 鋼の錬金術師 FULLMETAL ALCHEMIST,2009,9.5,43882
交响诗篇Eureka Seven彩虹满载 交響詩篇エウレカセブン ポケットが虹でいっぱい,2009,7.5,1202
亡念之扎姆德 亡念のザムド,2008,8.3,3100
噬魂师 ソウルイーター,2008,8.3,14518
二十面相少女 二十面相の娘,2008,7.4,706
异邦人：无皇刃谭 ストレンヂア 無皇刃譚,2007,8.4,15301
黑之契约者 DARKER THAN BLACK -黒の契約者-,2007,8.6,18633
天保异闻妖奇士 天保異聞 妖奇士,2006,6.7,230
樱兰高校男公关部 桜蘭高校ホスト部,2006,8.7,54941
兽王星 ジュウオウセイ,2006,7.4,1606
钢之炼金术师PREMIUM COLLECTION 钢の錬金术师 PREMIUM COLLECTION,2006,9,1142
钢之炼金术师：香巴拉的征服者 鋼の錬金術師 シャンバラを征く者,2005,8.2,16070
交响诗篇 交響詩篇エウレカセブン,2005,8.9,4418
库拉乌-幻之记忆 Kurau: Phantom Memory,2004,8.2,913
绚烂舞踏祭 絢爛舞踏祭 ザ・マーズ・デイブレイク,2004,6.7,154
钢之炼金术师 鋼の錬金術師,2003,9.2,43139
废弃公主 スクラップド・プリンセス,2003,7.7,2391
翼神世音 多元变奏曲 ラーゼフォン 多元変奏曲,2003,8.1,1297
狼雨 Wolf's Rain,2003,8.3,5369
翼神传说 RahXephon,2002,8.2,3682
星际牛仔：天国之门 カウボーイビバップ 天国の扉,2001,8.8,14681
天使领域 機動天使エンジェリックレイヤー,2001,7.2,215
机巧奇传希约战记 機巧奇傳ヒヲウ戦記,2000,暂无评分,<10
天空之Escaflowne エスカフローネ,2001,7.4,1570
